id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1046001,Alberta Arts Custom Basement Room,2236909,Shane,,King,45.56137759043529,-122.65826140626805,Private room,42,6,39,2015-12-19,1.19,6,344
9272916,New Alberta Arts Home,27241109,,,King,45.56275571214841,-122.65612117319468,Entire home/apt,150,1,0,,,1,215
5387742,Spacious 1 BR in hip cool NEPO,27930414,Timothy,,King,45.55058357181147,-122.66075162205826,Private room,89,1,89,2015-12-25,10.27,3,341
4871615,"Beautiful, Bright Apartment in NE",25060539,,,King,45.556375264660026,-122.66451833411048,Entire home/apt,45,5,8,2015-10-15,0.78,1,43
1979699,Inspired Design in NE Portland,2458289,Emily And Adam,,King,45.551668860179596,-122.65940656565117,Entire home/apt,340,3,0,,,3,365
775426,"Modern, ideally located & beautiful",1150082,Michelle,,King,45.5584820512144,-122.65078626351946,Entire home/apt,200,1,51,2015-12-20,1.49,4,292
5681939,Sweet Attic Abode in Alberta Arts,11341804,Meredith,,King,45.5579419790378,-122.65917573055992,Private room,92,1,14,2015-08-23,1.74,1,210
6263563,"Alberta area, 10 min to downtown!",21867233,Brittany And Khanh,,King,45.55974539648224,-122.66376859930838,Private room,53,1,14,2015-11-08,1.77,1,87
3289777,Portland Alberta Elegant 3bedsleep5,1317057,Tushar,,King,45.558399111120714,-122.65263813831119,Entire home/apt,165,1,68,2015-11-29,3.66,1,345
4436750,Cozy Close-In NE Cottage,23029142,Alison,,King,45.554486002953645,-122.66015959119464,Entire home/apt,98,3,45,2015-12-16,3.24,1,159
2781735,Arts District Historic Bungalow,2249039,Gregory,,King,45.56077398111742,-122.66458825079727,Private room,60,3,40,2015-11-15,2.18,1,360
3478041,"Charming room, centrally located",15357540,Paul,,King,45.55607968526251,-122.65545582316923,Private room,78,2,32,2015-11-29,1.76,3,365
4099599,"Cute, Clean and modern 3 Lvl Twnhse",4833726,Dustin,,King,45.56193867244824,-122.66443773824079,Private room,65,1,1,2015-02-16,0.09,2,355
4787434,Private Unit and Kitchen on Alberta,24679684,Adam,,King,45.55983506377841,-122.65887865450009,Entire home/apt,67,1,50,2015-12-14,4.59,1,302
6402399,"Queen memory foam bed, Quiet o",33387270,Taylor,,King,45.556839381574946,-122.66447165034073,Private room,60,2,32,2015-12-29,4.25,1,78
9859285,Big House by Alberta,50747753,Jimena,,King,45.55927979762319,-122.65534316503121,Entire home/apt,150,2,1,2015-12-25,1,1,15
3952832,Quiet Alberta Arts / Mississippi,15357540,Paul,,King,45.55536005441449,-122.65682644688269,Private room,78,2,41,2015-09-15,2.60,3,364
1036430,Bright room with private bathroom,2062422,Andrea,,King,45.565077643472456,-122.65868624516374,Private room,60,1,72,2015-12-01,2.20,1,364
9506971,Close In Designer Alberta Bungalo,1886383,Eric,,King,45.557584378915834,-122.65712528288343,Entire home/apt,120,1,1,2015-11-29,0.88,2,75
4607836,Artistic Communal House,23876127,Desiree Molly Dalton Claire Nico,,King,45.55417361018115,-122.6634766088952,Private room,58,2,17,2015-10-12,1.60,1,90
5000997,Room in Vintage Home -Alberta Arts,2846141,Scott,,King,45.55824424807058,-122.6563761188022,Private room,63,2,24,2015-11-27,2.11,1,62
6328092,Sunny Alberta Area bedroom/office!2,142363,Emiliano,,King,45.56151645878401,-122.65278995055586,Private room,40,2,12,2015-10-26,2.32,2,178
8670912,Alberta Arts,42524417,Ariel,,King,45.5560303387584,-122.65259014542339,Private room,38,1,6,2015-11-28,2.17,1,346
2471799,✳ Bright French Inspired Bedroom ✳ ,10458648,Dar,,King,45.56460912002871,-122.66361669136879,Private room,72,1,92,2015-10-31,4.31,1,365
699605,Adorable Alberta Arts Bungalow,2605790,,,King,45.56436166086922,-122.6572449366406,Entire home/apt,175,2,31,2015-09-14,0.80,1,353
5407255,Pleasant 1BR in hip cool NEPO,27930414,Timothy,,King,45.552522201727754,-122.66125349828418,Private room,103,1,91,2015-12-17,9.58,3,350
8965308,Guest room / Office,46854074,Alex,,King,45.56630790740741,-122.65737287219649,Private room,60,1,1,2015-11-05,0.52,1,49
724056,Bed & Bike  Near Alberta/Williams,960864,Naomi,,King,45.55610585271317,-122.65684117103501,Private room,67,1,31,2014-03-16,0.79,3,118
715685,Modern N.E Alberta Arts Cozy Quiet,2200710,Laurent,,King,45.55871008130568,-122.65823118172071,Private room,45,1,170,2015-12-23,9.79,3,343
6523258,♥ Spacious NE Home - Dogs Welcome!,21060164,Jon,,King,45.55554658587166,-122.65463631112834,Entire home/apt,179,2,21,2015-11-29,2.90,1,349
4917544,Cute 2 bed- Williams & Alberta area,4273288,Shawna,,King,45.5536008104253,-122.66452891052708,Entire home/apt,109,2,5,2015-11-02,0.84,1,340
2975954,Apartment in 1911 craftsman home,11551162,Jesse,,King,45.55399503529375,-122.65585192749172,Entire home/apt,125,2,39,2015-11-16,2.33,1,365
269339,Sweet Apartment in Alberta St. Area,960864,Naomi,,King,45.550350081813,-122.65663558035345,Entire home/apt,79,2,140,2015-11-10,2.85,3,106
1264363,Sandalwood House in Alberta Arts,1507209,,,King,45.556488703657394,-122.6560698600384,Entire home/apt,300,5,1,2014-01-02,0.04,1,239
